name,tel,fax,email,web,url,address,nature_of_business,executive_tel,executive_email,executive_name
RMA GROUP,(65) 6298 7159,(65) 6292 0459,enquiries@rmagroup.com.sg,www.rmagroup.com.sg ,http://www.chemicalcluster.com.sg/company-detail/rma-group,"200 Jalan Sultan, #03-38 , Textile Centre Singapore 199018",,,,
RDE CONSTRUCTION PTE LTD ,(65) 6291 1103,(65) 6353 1723,None,None,http://www.chemicalcluster.com.sg/company-detail/rde-construction-pte-ltd,"54 Maude Road , #03-02 , Townshend Building Singapore 208346",,,,
RE-PLAN PTE LTD ,(65) 6482 2595,(65) 6482 1814,None,None,http://www.chemicalcluster.com.sg/company-detail/re-plan-pte-ltd,"Block 5022  Ang Mo Kio Industrial Park 2 , #01-25,  Singapore 569525",,,,
READY OILFIELD SAFETY & SERVICES PTE LTD,(65) 6764 8477,(65) 6764 8227,enquiry@rutledgey2s.com,None,http://www.chemicalcluster.com.sg/company-detail/ready-oilfield-safety-ve-services-pte-ltd,"34 Toh Guan Road East  , #01-12/13,  Singapore 608579",,,,
RECKITT BENCKISER (SINGAPORE) PTE LTD,(65) 6875 0770,(65) 6875 0330,None,None,http://www.chemicalcluster.com.sg/company-detail/reckitt-benckiser-singapore-pte-ltd,"1 Fifth Avenue , #04-06 , Guthrie House Singapore 268802",,,,
RED EAGLE MARINE PTE LTD ,(65) 6897 7782,(65) 6897 7784,redems@singnet.com.sg,www.redeaglemarine.com.sg ,http://www.chemicalcluster.com.sg/company-detail/red-eagle-marine-pte-ltd,"11A  Tech Park Crescent,  Singapore 637842",,,,
REDOX CHEMICAL PTE LTD,(65) 6268 2355,(65) 6268 7336,redox@singnet.com.sg,None,http://www.chemicalcluster.com.sg/company-detail/redox-chemical-pte-ltd,"63 Tuas View Walk 2  ,  Singapore 637631",,,,
REED BUSINESS INFORMATION PTE LTD (ICIS),(65) 6789 8828,(65) 6789 8898,None,www.reedbusiness.co.uk,http://www.chemicalcluster.com.sg/company-detail/reed-business-information-pte-ltd-icis,"1 Changi Business Park Crescent #06-01, Plaza 8 @ Cbp Tower A Singapore 486025",,,,
REED EXHIBITIONS PTE LTD,(65) 6789 8800,(65) 6789 7711,pr@reedexpo.com.sg,www.reedexpo.com.sg,http://www.chemicalcluster.com.sg/company-detail/reed-exhibitions-pte-ltd,"51 Changi Business Park Central 2, #07-01, The Signature Singapore 486066",,,,
REFRACTORY TECHSERV PTE LTD,(65) 6862 1022,(65) 6862 1023,techserv@pacific.net.sg,www.refractorytechserv.com.sg,http://www.chemicalcluster.com.sg/company-detail/refractory-techserv-pte-ltd,"25 Woodlands Industrial Park E2,  Singapore 757459",,,,
REGENCY STEEL ASIA PTE LTD ,(65) 6221 0018,(65) 6224 6771,sales@regencysteel.com.sg,None,http://www.chemicalcluster.com.sg/company-detail/regency-steel-asia-pte-ltd,"8 Cross Street, #24-03 , PWC Building Singapore 48424",,,,
REGIONAL INSTITUTE OF ENVIRONMENTAL TECHNOLOGY,(65) 6777 2685,None,None,None,http://www.chemicalcluster.com.sg/company-detail/regional-institute-of-environmental-technology,"3 Science Pk Drive, #02-10, The Franklin Singapore 118223",,,,
REGVA CONTROLS PTE LTD,(65) 6272 0633,(65) 6270 2033,None,None,http://www.chemicalcluster.com.sg/company-detail/regva-controls-pte-ltd,"35 Telok Blangah Rise , #01-285,  Singapore 90035",,,,
REMMERS (FAR EAST) PTE LTD,(65) 6741 0277,(65) 6741 7158,remmers@singnet.com.sg,www.remmers.com.sg,http://www.chemicalcluster.com.sg/company-detail/remmers-far-east-pte-ltd,"8 Kaki Bukit Road 2, #03-12, Ruby Warehouse Complex Singapore 417841",,,,
RENEWPOWERS TECHNOLOGIES PTE LTD,(65) 6741 7123,(65) 6441 7379,None,None,http://www.chemicalcluster.com.sg/company-detail/renewpowers-technologies-pte-ltd,"35 Kaki Bukit Place,  Singapore 416213",,,,
REPASSA SINGAPORE PTE LTD ,(65) 6842 7391,(65) 6842 7392,email@repassa.com,www.repassa.com,http://www.chemicalcluster.com.sg/company-detail/repassa-singapore-pte-ltd,"5 Kaki Bukit Road 2 , #01-01 , City Warehouse Singapore 417839",,,,
R-ONE TRADING PTE LTD,(65) 6338 0450,(65) 6338 0454,None,None,http://www.chemicalcluster.com.sg/company-detail/r-one-trading-pte-ltd,"1 Rochor Canal Road, #04-08, Sim Lim Square Singapore 188504",,,,
R.C. ENTERPRISES PTE LTD ,(65) 6545 8338,(65) 6542 9987,derriclim@rc-enterprises.com.sg,www.rc-enterprises.com.sg ,http://www.chemicalcluster.com.sg/company-detail/r-c-enterprises-pte-ltd,"21 Tuas Avenue 18,  Singapore 638901",,,,
RACO INSTRUMENTS PTE LTD ,(65) 6281 0377,(65) 6382 4233,None,None,http://www.chemicalcluster.com.sg/company-detail/raco-instruments-pte-ltd,"Block 38  Defu Lane 10 , #04-19,  Singapore 539215",,,,
RADCOFLEX S'PORE PTE LTD ,(65) 6777 2620,(65) 6779 7531,radcoflex@pacific.net.sg,www.radcoflex.com ,http://www.chemicalcluster.com.sg/company-detail/radcoflex-s-pore-pte-ltd,"122 Pandan Loop,  Singapore 128326",,,,
RADIANT INSTRUMENT & ELECTRICAL ENGINEERING PTE LTD,(65) 6773 2591,(65) 6773 2590,radiant@pacific.net.sg,None,http://www.chemicalcluster.com.sg/company-detail/radiant-instrument-ve-electrical-engineering-pte-ltd,"5 Pandan Loop    , #01-05,  Singapore 128223",,,,
